run_id,character,win,ascension,seed,acts_path,act_count,killed_by,run_time_seconds,run_time_minutes,deck_size,unique_deck_cards,relic_count,floor_count,final_floor,final_floor_type,final_encounter,final_current_hp,final_max_hp,final_gold,total_turns,total_damage_taken,total_hp_healed,total_cards_offered,total_cards_picked,total_potions_used,total_potions_gained,total_monsters,build_id,timestamp,total_players
1780138064,Necrobinder,True,2,QWYN8TH4LZ,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,6177,102.95,39,31,16,48,48.0,boss,ENCOUNTER.TEST_SUBJECT_BOSS,2.0,66.0,33.0,173,203,205,93,25,14,16,42,v0.103.2,1780138064,1
1780097816,Necrobinder,True,0,JJNWMGJKX4,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,7031,117.18,42,31,23,45,45.0,boss,ENCOUNTER.DOORMAKER_BOSS,37.0,54.0,201.0,117,148,185,86,24,16,19,39,v0.103.2,1780097816,3
1780093606,Necrobinder,False,0,YFJ3Z2ZJR4,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,4121,68.68,29,23,9,31,31.0,boss,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,0.0,73.0,47.0,87,140,140,58,13,6,7,23,v0.103.2,1780093606,2
1780089985,Necrobinder,False,0,SBQC5KHL4T,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.THE_OBSCURA_NORMAL,3421,57.02,26,18,9,25,25.0,monster,ENCOUNTER.THE_OBSCURA_NORMAL,0.0,66.0,559.0,76,140,140,48,15,4,8,31,v0.103.2,1780089985,2
1780084060,Necrobinder,True,1,J4EFJ2YY9J,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,5252,87.53,55,41,28,48,48.0,boss,ENCOUNTER.DOORMAKER_BOSS,15.0,86.0,559.0,129,203,218,81,24,16,18,43,v0.103.2,1780084060,1
1780009910,Necrobinder,False,1,9CVYRNC42F,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.SLUMBERING_BEETLE_NORMAL,2517,41.95,28,21,7,23,23.0,unknown,ENCOUNTER.SLUMBERING_BEETLE_NORMAL,0.0,66.0,459.0,80,164,166,54,14,3,4,24,v0.103.2,1780009910,1
1779839177,Necrobinder,False,1,KJ26E1SUME,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.CONSTRUCT_MENAGERIE_NORMAL,4510,75.17,28,21,16,42,42.0,monster,ENCOUNTER.CONSTRUCT_MENAGERIE_NORMAL,0.0,66.0,308.0,81,148,148,77,17,4,10,37,v0.103.2,1779839177,1
1779836830,Necrobinder,False,1,XPNAHUHCFZ,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.SOUL_FYSH_BOSS,1579,26.32,22,14,4,17,17.0,boss,ENCOUNTER.SOUL_FYSH_BOSS,0.0,66.0,170.0,47,75,85,29,8,1,2,13,v0.103.2,1779836830,1
1779836810,Silent,False,2,JE58MT8JQZ,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,2,0.03,12,4,1,0,,,,,,,0,0,0,0,0,0,0,0,v0.103.2,1779836810,1
1779728092,Necrobinder,False,1,ZUVMZ74VR1,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,4919,81.98,28,21,7,33,33.0,boss,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,0.0,66.0,197.0,89,166,166,62,16,5,7,28,v0.103.2,1779728092,1
1779725866,Necrobinder,False,1,T9PRN8HH45,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.LAGAVULIN_MATRIARCH_BOSS,2160,36.0,21,14,5,17,17.0,boss,ENCOUNTER.LAGAVULIN_MATRIARCH_BOSS,0.0,79.0,244.0,57,116,116,27,9,5,5,18,v0.103.2,1779725866,1
1779568127,Silent,True,1,61ER44VU87,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,4774,79.57,46,30,17,48,48.0,boss,ENCOUNTER.QUEEN_BOSS,1.0,70.0,121.0,99,280,281,99,22,11,14,32,v0.103.2,1779568127,1
1779536512,Regent,True,0,78QTYSFN6K,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,4062,67.7,165,31,14,48,48.0,boss,ENCOUNTER.DOORMAKER_BOSS,47.0,73.0,447.0,83,136,183,87,23,5,6,36,v0.103.2,1779536512,1
1779485510,Defect,False,0,E76EPDC0WW,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.PHANTASMAL_GARDENERS_ELITE,1402,23.37,21,15,5,15,15.0,elite,ENCOUNTER.PHANTASMAL_GARDENERS_ELITE,0.0,75.0,333.0,41,90,90,33,11,4,5,18,v0.103.2,1779485510,1
1779289315,Defect,False,0,0W95Y7J0E4,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,3830,63.83,28,20,9,33,33.0,boss,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,0.0,66.0,974.0,60,198,198,43,13,7,7,25,v0.103.2,1779289315,1
